4
#n SepalL SepalW PetalL PetalW
6.5 3.0 5.5 1.8 Vi
7.7 3.8 6.7 2.2 Vi
7.7 2.6 6.9 2.3 Vi
6.0 2.2 5.0 1.5 Vi
6.9 3.2 5.7 2.3 Vi
5.6 2.8 4.9 2.0 Vi
7.7 2.8 6.7 2.0 Vi
6.3 2.7 4.9 1.8 Vi
6.7 3.3 5.7 2.1 Vi
7.2 3.2 6.0 1.8 Vi
6.2 2.8 4.8 1.8 Vi
6.1 3.0 4.9 1.8 Vi
6.4 2.8 5.6 2.1 Vi
7.2 3.0 5.8 1.6 Vi
7.4 2.8 6.1 1.9 Vi
7.9 3.8 6.4 2.0 Vi
6.4 2.8 5.6 2.2 Vi
6.3 2.8 5.1 1.5 Vi
6.1 2.6 5.6 1.4 Vi
7.7 3.0 6.1 2.3 Vi
6.3 3.4 5.6 2.4 Vi
6.4 3.1 5.5 1.8 Vi
6.0 3.0 4.8 1.8 Vi
6.9 3.1 5.4 2.1 Vi
6.7 3.1 5.6 2.4 Vi
6.9 3.1 5.1 2.3 Vi
5.8 2.7 5.1 1.9 Vi
6.8 3.2 5.9 2.3 Vi
6.7 3.3 5.7 2.5 Vi
6.7 3.0 5.2 2.3 Vi
6.3 2.5 5.0 1.9 Vi
6.5 3.0 5.2 2.0 Vi
6.2 3.4 5.4 2.3 Vi
5.9 3.0 5.1 1.8 Vi
 
